"device","dataset","camera_path","camera_step","viewport","ssim","quad_tess","img quad_tess","geo_quad","img geo_quad","stpa","img stpa","quad_inst","img quad_inst","poly_tess","img poly_tess"
"Radeon Vega Frontier Edition","liquid formation","path_siny","0","512 512","0.9939","306.8115","2020-01-09T14-38-34-494.png","410.1840","2020-01-09T14-38-34-549.png","411.4227","2020-01-09T15-40-59-933.png","410.3473","2020-01-09T14-51-18-032.png","77.3587","2020-01-09T14-51-18-228.png"
"NVIDIA GeForce GTX 1080 Ti","liquid formation","path_siny","9","1024 1024","0.9928","475.1452","2020-01-09T14-38-43-579.png","480.8686","2020-01-09T14-38-43-625.png","480.9496","2020-01-09T15-41-04-628.png","612.2649","2020-01-09T14-51-40-266.png","256.4168","2020-01-09T14-51-40-467.png"
"NVIDIA Quadro M6000 24GB","liquid formation","path_siny","9","1024 1024","0.9928","298.2386","2020-01-09T14-38-43-579.png","299.2525","2020-01-09T14-38-43-625.png","299.3053","2020-01-09T15-41-04-628.png","223.9687","2020-01-09T14-51-40-266.png","129.6543","2020-01-09T14-51-40-467.png"
"NVIDIA TITAN X (Pascal)","liquid formation","path_siny","9","1024 1024","0.9928","432.9754","2020-01-09T14-38-43-579.png","443.7935","2020-01-09T14-38-43-625.png","442.3957","2020-01-09T15-41-04-628.png","561.5769","2020-01-09T14-51-40-266.png","241.9936","2020-01-09T14-51-40-467.png"
"NVIDIA TITAN Xp","liquid formation","path_siny","9","1024 1024","0.9928","457.8356","2020-01-09T14-38-43-579.png","451.3980","2020-01-09T14-38-43-625.png","454.4257","2020-01-09T15-41-04-628.png","552.6724","2020-01-09T14-51-40-266.png","256.7618","2020-01-09T14-51-40-467.png"
"Radeon (TM) RX 480 Graphics","liquid formation","path_siny","9","1024 1024","0.9928","78.6176","2020-01-09T14-38-43-579.png","39.4225","2020-01-09T14-38-43-625.png","39.5360","2020-01-09T15-41-04-628.png","42.6843","2020-01-09T14-51-40-266.png","17.1037","2020-01-09T14-51-40-467.png"
"Radeon Vega Frontier Edition","liquid formation","path_siny","9","1024 1024","0.9928","305.3398","2020-01-09T14-38-43-579.png","218.3478","2020-01-09T14-38-43-625.png","217.5034","2020-01-09T15-41-04-628.png","367.2771","2020-01-09T14-51-40-266.png","77.3013","2020-01-09T14-51-40-467.png"
"NVIDIA GeForce GTX 1080 Ti","liquid formation","path_siny","9","2048 2048","0.9928","418.6150","2020-01-09T14-38-43-579.png","401.4645","2020-01-09T14-38-43-625.png","401.1344","2020-01-09T15-41-04-628.png","510.9053","2020-01-09T14-51-40-266.png","245.7129","2020-01-09T14-51-40-467.png"
"NVIDIA Quadro M6000 24GB","liquid formation","path_siny","9","2048 2048","0.9928","239.7300","2020-01-09T14-38-43-579.png","251.0204","2020-01-09T14-38-43-625.png","250.6580","2020-01-09T15-41-04-628.png","223.8659","2020-01-09T14-51-40-266.png","121.1248","2020-01-09T14-51-40-467.png"
"NVIDIA TITAN X (Pascal)","liquid formation","path_siny","9","2048 2048","0.9928","387.3117","2020-01-09T14-38-43-579.png","370.4733","2020-01-09T14-38-43-625.png","369.4904","2020-01-09T15-41-04-628.png","466.7074","2020-01-09T14-51-40-266.png","223.2661","2020-01-09T14-51-40-467.png"
"NVIDIA TITAN Xp","liquid formation","path_siny","9","2048 2048","0.9928","417.3431","2020-01-09T14-38-43-579.png","374.0191","2020-01-09T14-38-43-625.png","372.6629","2020-01-09T15-41-04-628.png","490.1192","2020-01-09T14-51-40-266.png","236.6561","2020-01-09T14-51-40-467.png"
