"device","dataset","camera_path","camera_step","viewport","ssim","quad_tess","img quad_tess","geo_quad","img geo_quad","stpa","img stpa","quad_inst","img quad_inst","poly_tess","img poly_tess"
"Radeon Vega Frontier Edition","liquid formation","path_siny","39","512 512","0.9887","303.0918","2020-01-09T14-39-12-895.png","258.7248","2020-01-09T14-39-12-984.png","69.4478","2020-01-09T15-41-19-713.png","383.5120","2020-01-09T14-52-51-361.png","77.3270","2020-01-09T14-52-51-633.png"
"NVIDIA GeForce GTX 1080 Ti","liquid formation","path_siny","49","1024 1024","0.9969","442.0827","2020-01-09T14-39-23-148.png","406.6462","2020-01-09T14-39-23-223.png","44.1503","2020-01-09T15-41-25-404.png","450.8993","2020-01-09T14-53-16-243.png","239.5617","2020-01-09T14-53-16-481.png"
"NVIDIA Quadro M6000 24GB","liquid formation","path_siny","49","1024 1024","0.9969","239.7886","2020-01-09T14-39-23-148.png","250.1970","2020-01-09T14-39-23-223.png","28.7675","2020-01-09T15-41-25-404.png","192.7376","2020-01-09T14-53-16-243.png","123.4604","2020-01-09T14-53-16-481.png"
"NVIDIA TITAN X (Pascal)","liquid formation","path_siny","49","1024 1024","0.9969","396.4981","2020-01-09T14-39-23-148.png","372.4534","2020-01-09T14-39-23-223.png","40.0667","2020-01-09T15-41-25-404.png","410.7603","2020-01-09T14-53-16-243.png","217.6970","2020-01-09T14-53-16-481.png"
"NVIDIA TITAN Xp","liquid formation","path_siny","49","1024 1024","0.9969","422.2081","2020-01-09T14-39-23-148.png","390.1708","2020-01-09T14-39-23-223.png","42.7314","2020-01-09T15-41-25-404.png","417.1568","2020-01-09T14-53-16-243.png","230.3511","2020-01-09T14-53-16-481.png"
"Radeon (TM) RX 480 Graphics","liquid formation","path_siny","49","1024 1024","0.9969","44.8982","2020-01-09T14-39-23-148.png","23.2238","2020-01-09T14-39-23-223.png","4.8261","2020-01-09T15-41-25-404.png","34.0815","2020-01-09T14-53-16-243.png","16.1549","2020-01-09T14-53-16-481.png"
"Radeon Vega Frontier Edition","liquid formation","path_siny","49","1024 1024","0.9969","232.8793","2020-01-09T14-39-23-148.png","103.7520","2020-01-09T14-39-23-223.png","20.7934","2020-01-09T15-41-25-404.png","267.7455","2020-01-09T14-53-16-243.png","74.8963","2020-01-09T14-53-16-481.png"
"NVIDIA GeForce GTX 1080 Ti","liquid formation","path_siny","49","2048 2048","0.9969","183.5014","2020-01-09T14-39-23-148.png","180.5621","2020-01-09T14-39-23-223.png","11.5631","2020-01-09T15-41-25-404.png","187.1527","2020-01-09T14-53-16-243.png","138.4311","2020-01-09T14-53-16-481.png"
"NVIDIA Quadro M6000 24GB","liquid formation","path_siny","49","2048 2048","0.9969","100.4048","2020-01-09T14-39-23-148.png","104.1686","2020-01-09T14-39-23-223.png","7.4864","2020-01-09T15-41-25-404.png","97.5381","2020-01-09T14-53-16-243.png","72.1407","2020-01-09T14-53-16-481.png"
"NVIDIA TITAN X (Pascal)","liquid formation","path_siny","49","2048 2048","0.9969","166.0572","2020-01-09T14-39-23-148.png","164.4331","2020-01-09T14-39-23-223.png","10.4754","2020-01-09T15-41-25-404.png","169.7816","2020-01-09T14-53-16-243.png","125.7814","2020-01-09T14-53-16-481.png"
"NVIDIA TITAN Xp","liquid formation","path_siny","49","2048 2048","0.9969","176.6444","2020-01-09T14-39-23-148.png","174.3551","2020-01-09T14-39-23-223.png","11.1827","2020-01-09T15-41-25-404.png","178.5960","2020-01-09T14-53-16-243.png","133.3285","2020-01-09T14-53-16-481.png"
"Radeon (TM) RX 480 Graphics","liquid formation","path_siny","49","2048 2048","0.9969","18.3474","2020-01-09T14-39-23-148.png","8.2972","2020-01-09T14-39-23-223.png","1.2601","2020-01-09T15-41-25-404.png","17.2635","2020-01-09T14-53-16-243.png","11.6247","2020-01-09T14-53-16-481.png"
"Radeon Vega Frontier Edition","liquid formation","path_siny","49","2048 2048","0.9969","116.9530","2020-01-09T14-39-23-148.png","38.2947","2020-01-09T14-39-23-223.png","5.6390","2020-01-09T15-41-25-404.png","121.0860","2020-01-09T14-53-16-243.png","61.1359","2020-01-09T14-53-16-481.png"
"NVIDIA GeForce GTX 1080 Ti","liquid formation","path_siny","49","512 512","0.9969","612.4974","2020-01-09T14-39-23-148.png","575.4005","2020-01-09T14-39-23-223.png","148.6083","2020-01-09T15-41-25-404.png","600.8243","2020-01-09T14-53-16-243.png","279.0615","2020-01-09T14-53-16-481.png"
"NVIDIA Quadro M6000 24GB","liquid formation","path_siny","49","512 512","0.9969","354.5395","2020-01-09T14-39-23-148.png","366.3178","2020-01-09T14-39-23-223.png","96.9274","2020-01-09T15-41-25-404.png","224.0274","2020-01-09T14-53-16-243.png","141.7398","2020-01-09T14-53-16-481.png"
"NVIDIA TITAN X (Pascal)","liquid formation","path_siny","49","512 512","0.9969","544.5111","2020-01-09T14-39-23-148.png","528.1672","2020-01-09T14-39-23-223.png","135.3160","2020-01-09T15-41-25-404.png","548.8233","2020-01-09T14-53-16-243.png","254.2543","2020-01-09T14-53-16-481.png"
"NVIDIA TITAN Xp","liquid formation","path_siny","49","512 512","0.9969","581.2872","2020-01-09T14-39-23-148.png","541.1812","2020-01-09T14-39-23-223.png","143.9085","2020-01-09T15-41-25-404.png","539.8344","2020-01-09T14-53-16-243.png","269.4024","2020-01-09T14-53-16-481.png"
"Radeon (TM) RX 480 Graphics","liquid formation","path_siny","49","512 512","0.9969","72.8603","2020-01-09T14-39-23-148.png","44.4741","2020-01-09T14-39-23-223.png","15.9958","2020-01-09T15-41-25-404.png","41.8468","2020-01-09T14-53-16-243.png","17.0943","2020-01-09T14-53-16-481.png"
"Radeon Vega Frontier Edition","liquid formation","path_siny","49","512 512","0.9969","294.2648","2020-01-09T14-39-23-148.png","215.4313","2020-01-09T14-39-23-223.png","68.9817","2020-01-09T15-41-25-404.png","358.4319","2020-01-09T14-53-16-243.png","77.2266","2020-01-09T14-53-16-481.png"
"NVIDIA GeForce GTX 1080 Ti","liquid formation","path_siny","59","1024 1024","0.9782","506.3855","2020-01-09T14-39-33-451.png","478.6338","2020-01-09T14-39-33-525.png","69.2209","2020-01-09T15-41-31-085.png","523.0645","2020-01-09T14-53-41-999.png","245.8706","2020-01-09T14-53-42-257.png"
"NVIDIA Quadro M6000 24GB","liquid formation","path_siny","59","1024 1024","0.9782","254.6071","2020-01-09T14-39-33-451.png","284.0861","2020-01-09T14-39-33-525.png","44.6345","2020-01-09T15-41-31-085.png","217.8939","2020-01-09T14-53-41-999.png","128.9674","2020-01-09T14-53-42-257.png"
"NVIDIA TITAN X (Pascal)","liquid formation","path_siny","59","1024 1024","0.9782","454.5331","2020-01-09T14-39-33-451.png","437.0419","2020-01-09T14-39-33-525.png","62.8480","2020-01-09T15-41-31-085.png","476.3788","2020-01-09T14-53-41-999.png","223.6246","2020-01-09T14-53-42-257.png"
"NVIDIA TITAN Xp","liquid formation","path_siny","59","1024 1024","0.9782","483.9264","2020-01-09T14-39-33-451.png","445.8176","2020-01-09T14-39-33-525.png","66.5642","2020-01-09T15-41-31-085.png","486.3364","2020-01-09T14-53-41-999.png","236.0556","2020-01-09T14-53-42-257.png"
"Radeon (TM) RX 480 Graphics","liquid formation","path_siny","59","1024 1024","0.9782","43.5755","2020-01-09T14-39-33-451.png","21.6804","2020-01-09T14-39-33-525.png","7.0128","2020-01-09T15-41-31-085.png","35.2460","2020-01-09T14-53-41-999.png","16.7642","2020-01-09T14-53-42-257.png"
"Radeon Vega Frontier Edition","liquid formation","path_siny","59","1024 1024","0.9782","233.4185","2020-01-09T14-39-33-451.png","100.9829","2020-01-09T14-39-33-525.png","30.0281","2020-01-09T15-41-31-085.png","270.3733","2020-01-09T14-53-41-999.png","76.5667","2020-01-09T14-53-42-257.png"
"NVIDIA GeForce GTX 1080 Ti","liquid formation","path_siny","59","2048 2048","0.9782","187.4759","2020-01-09T14-39-33-451.png","185.4995","2020-01-09T14-39-33-525.png","18.1832","2020-01-09T15-41-31-085.png","193.5003","2020-01-09T14-53-41-999.png","147.4613","2020-01-09T14-53-42-257.png"
"NVIDIA Quadro M6000 24GB","liquid formation","path_siny","59","2048 2048","0.9782","96.5960","2020-01-09T14-39-33-451.png","100.2333","2020-01-09T14-39-33-525.png","11.6393","2020-01-09T15-41-31-085.png","101.5735","2020-01-09T14-53-41-999.png","75.5441","2020-01-09T14-53-42-257.png"
"NVIDIA TITAN X (Pascal)","liquid formation","path_siny","59","2048 2048","0.9782","170.0319","2020-01-09T14-39-33-451.png","168.3003","2020-01-09T14-39-33-525.png","16.3572","2020-01-09T15-41-31-085.png","175.0130","2020-01-09T14-53-41-999.png","129.2113","2020-01-09T14-53-42-257.png"
"NVIDIA TITAN Xp","liquid formation","path_siny","59","2048 2048","0.9782","181.8890","2020-01-09T14-39-33-451.png","178.3059","2020-01-09T14-39-33-525.png","17.5652","2020-01-09T15-41-31-085.png","187.0669","2020-01-09T14-53-41-999.png","142.5336","2020-01-09T14-53-42-257.png"
"Radeon (TM) RX 480 Graphics","liquid formation","path_siny","59","2048 2048","0.9782","17.8787","2020-01-09T14-39-33-451.png","8.1713","2020-01-09T14-39-33-525.png","1.9198","2020-01-09T15-41-31-085.png","16.6336","2020-01-09T14-53-41-999.png","11.4433","2020-01-09T14-53-42-257.png"
"Radeon Vega Frontier Edition","liquid formation","path_siny","59","2048 2048","0.9782","110.9787","2020-01-09T14-39-33-451.png","38.4115","2020-01-09T14-39-33-525.png","8.4259","2020-01-09T15-41-31-085.png","117.4117","2020-01-09T14-53-41-999.png","64.2913","2020-01-09T14-53-42-257.png"
"NVIDIA GeForce GTX 1080 Ti","liquid formation","path_siny","59","512 512","0.9782","694.0829","2020-01-09T14-39-33-451.png","636.1971","2020-01-09T14-39-33-525.png","219.2550","2020-01-09T15-41-31-085.png","616.1278","2020-01-09T14-53-41-999.png","270.6778","2020-01-09T14-53-42-257.png"
"NVIDIA Quadro M6000 24GB","liquid formation","path_siny","59","512 512","0.9782","386.9280","2020-01-09T14-39-33-451.png","407.9185","2020-01-09T14-39-33-525.png","141.6035","2020-01-09T15-41-31-085.png","224.0184","2020-01-09T14-53-41-999.png","146.3936","2020-01-09T14-53-42-257.png"
"NVIDIA TITAN X (Pascal)","liquid formation","path_siny","59","512 512","0.9782","616.9184","2020-01-09T14-39-33-451.png","583.1958","2020-01-09T14-39-33-525.png","199.3215","2020-01-09T15-41-31-085.png","561.5643","2020-01-09T14-53-41-999.png","257.9500","2020-01-09T14-53-42-257.png"
"NVIDIA TITAN Xp","liquid formation","path_siny","59","512 512","0.9782","658.9612","2020-01-09T14-39-33-451.png","588.6439","2020-01-09T14-39-33-525.png","209.2939","2020-01-09T15-41-31-085.png","544.0844","2020-01-09T14-53-41-999.png","272.5546","2020-01-09T14-53-42-257.png"
"Radeon (TM) RX 480 Graphics","liquid formation","path_siny","59","512 512","0.9782","72.4496","2020-01-09T14-39-33-451.png","45.2315","2020-01-09T14-39-33-525.png","21.9396","2020-01-09T15-41-31-085.png","42.7062","2020-01-09T14-53-41-999.png","17.1163","2020-01-09T14-53-42-257.png"
"Radeon Vega Frontier Edition","liquid formation","path_siny","59","512 512","0.9782","299.1030","2020-01-09T14-39-33-451.png","205.2575","2020-01-09T14-39-33-525.png","92.4719","2020-01-09T15-41-31-085.png","381.5716","2020-01-09T14-53-41-999.png","77.3090","2020-01-09T14-53-42-257.png"
"NVIDIA GeForce GTX 1080 Ti","liquid formation","path_siny","69","1024 1024","0.9054","471.6558","2020-01-09T14-39-44-934.png","480.7091","2020-01-09T14-39-45-002.png","7.4684","2020-01-09T15-41-38-050.png","397.2999","2020-01-09T14-54-09-074.png","243.9090","2020-01-09T14-54-09-288.png"
"NVIDIA Quadro M6000 24GB","liquid formation","path_siny","69","1024 1024","0.9054","257.7393","2020-01-09T14-39-44-934.png","256.1436","2020-01-09T14-39-45-002.png","4.8710","2020-01-09T15-41-38-050.png","177.7089","2020-01-09T14-54-09-074.png","128.3226","2020-01-09T14-54-09-288.png"
"NVIDIA TITAN X (Pascal)","liquid formation","path_siny","69","1024 1024","0.9054","419.5000","2020-01-09T14-39-44-934.png","436.6507","2020-01-09T14-39-45-002.png","6.7567","2020-01-09T15-41-38-050.png","361.7565","2020-01-09T14-54-09-074.png","222.3329","2020-01-09T14-54-09-288.png"
"NVIDIA TITAN Xp","liquid formation","path_siny","69","1024 1024","0.9054","446.9394","2020-01-09T14-39-44-934.png","461.1929","2020-01-09T14-39-45-002.png","7.2300","2020-01-09T15-41-38-050.png","371.7403","2020-01-09T14-54-09-074.png","238.1009","2020-01-09T14-54-09-288.png"
"Radeon (TM) RX 480 Graphics","liquid formation","path_siny","69","1024 1024","0.9054","40.7201","2020-01-09T14-39-44-934.png","23.5056","2020-01-09T14-39-45-002.png","0.9703","2020-01-09T15-41-38-050.png","28.9689","2020-01-09T14-54-09-074.png","14.7896","2020-01-09T14-54-09-288.png"
"Radeon Vega Frontier Edition","liquid formation","path_siny","69","1024 1024","0.9054","196.4922","2020-01-09T14-39-44-934.png","110.5778","2020-01-09T14-39-45-002.png","3.9869","2020-01-09T15-41-38-050.png","229.8576","2020-01-09T14-54-09-074.png","70.8311","2020-01-09T14-54-09-288.png"
"NVIDIA GeForce GTX 1080 Ti","liquid formation","path_siny","69","2048 2048","0.9054","155.8421","2020-01-09T14-39-44-934.png","156.7280","2020-01-09T14-39-45-002.png","1.8722","2020-01-09T15-41-38-050.png","150.7743","2020-01-09T14-54-09-074.png","122.9695","2020-01-09T14-54-09-288.png"
"NVIDIA Quadro M6000 24GB","liquid formation","path_siny","69","2048 2048","0.9054","92.0107","2020-01-09T14-39-44-934.png","91.9067","2020-01-09T14-39-45-002.png","1.2216","2020-01-09T15-41-38-050.png","81.2334","2020-01-09T14-54-09-074.png","67.5147","2020-01-09T14-54-09-288.png"
"NVIDIA TITAN X (Pascal)","liquid formation","path_siny","69","2048 2048","0.9054","140.8266","2020-01-09T14-39-44-934.png","141.5228","2020-01-09T14-39-45-002.png","1.6952","2020-01-09T15-41-38-050.png","136.2879","2020-01-09T14-54-09-074.png","111.7626","2020-01-09T14-54-09-288.png"
"NVIDIA TITAN Xp","liquid formation","path_siny","69","2048 2048","0.9054","150.0902","2020-01-09T14-39-44-934.png","151.4527","2020-01-09T14-39-45-002.png","1.8138","2020-01-09T15-41-38-050.png","143.1385","2020-01-09T14-54-09-074.png","119.5532","2020-01-09T14-54-09-288.png"
"Radeon (TM) RX 480 Graphics","liquid formation","path_siny","69","2048 2048","0.9054","15.4879","2020-01-09T14-39-44-934.png","7.5626","2020-01-09T14-39-45-002.png","0.2382","2020-01-09T15-41-38-050.png","13.4773","2020-01-09T14-54-09-074.png","9.3027","2020-01-09T14-54-09-288.png"
"Radeon Vega Frontier Edition","liquid formation","path_siny","69","2048 2048","0.9054","91.3467","2020-01-09T14-39-44-934.png","35.1866","2020-01-09T14-39-45-002.png","1.0033","2020-01-09T15-41-38-050.png","97.5496","2020-01-09T14-54-09-074.png","50.0811","2020-01-09T14-54-09-288.png"
"NVIDIA GeForce GTX 1080 Ti","liquid formation","path_siny","69","512 512","0.9054","745.7511","2020-01-09T14-39-44-934.png","863.4535","2020-01-09T14-39-45-002.png","29.5307","2020-01-09T15-41-38-050.png","611.1162","2020-01-09T14-54-09-074.png","267.8452","2020-01-09T14-54-09-288.png"
"NVIDIA Quadro M6000 24GB","liquid formation","path_siny","69","512 512","0.9054","428.7723","2020-01-09T14-39-44-934.png","457.4942","2020-01-09T14-39-45-002.png","19.2991","2020-01-09T15-41-38-050.png","224.0103","2020-01-09T14-54-09-074.png","157.0786","2020-01-09T14-54-09-288.png"
"NVIDIA TITAN X (Pascal)","liquid formation","path_siny","69","512 512","0.9054","678.4122","2020-01-09T14-39-44-934.png","791.0579","2020-01-09T14-39-45-002.png","26.6719","2020-01-09T15-41-38-050.png","559.0402","2020-01-09T14-54-09-074.png","269.3617","2020-01-09T14-54-09-288.png"
"NVIDIA TITAN Xp","liquid formation","path_siny","69","512 512","0.9054","688.4492","2020-01-09T14-39-44-934.png","823.8318","2020-01-09T14-39-45-002.png","28.5315","2020-01-09T15-41-38-050.png","552.5106","2020-01-09T14-54-09-074.png","285.8368","2020-01-09T14-54-09-288.png"
"Radeon (TM) RX 480 Graphics","liquid formation","path_siny","69","512 512","0.9054","69.8183","2020-01-09T14-39-44-934.png","51.9761","2020-01-09T14-39-45-002.png","3.8006","2020-01-09T15-41-38-050.png","40.2813","2020-01-09T14-54-09-074.png","16.9708","2020-01-09T14-54-09-288.png"
"Radeon Vega Frontier Edition","liquid formation","path_siny","69","512 512","0.9054","279.2485","2020-01-09T14-39-44-934.png","252.5769","2020-01-09T14-39-45-002.png","15.5831","2020-01-09T15-41-38-050.png","356.1723","2020-01-09T14-54-09-074.png","76.8090","2020-01-09T14-54-09-288.png"
"NVIDIA GeForce GTX 1080 Ti","liquid formation","path_siny","79","1024 1024","0.9852","822.7473","2020-01-09T14-39-56-051.png","966.8936","2020-01-09T14-39-56-105.png","822.8218","2020-01-09T15-41-46-610.png","617.6881","2020-01-09T14-54-35-542.png","316.4497","2020-01-09T14-54-35-738.png"
"NVIDIA Quadro M6000 24GB","liquid formation","path_siny","79","1024 1024","0.9852","508.2385","2020-01-09T14-39-56-051.png","508.7453","2020-01-09T14-39-56-105.png","470.6635","2020-01-09T15-41-46-610.png","223.9195","2020-01-09T14-54-35-542.png","168.6005","2020-01-09T14-54-35-738.png"
"NVIDIA TITAN X (Pascal)","liquid formation","path_siny","79","1024 1024","0.9852","752.3605","2020-01-09T14-39-56-051.png","885.0027","2020-01-09T14-39-56-105.png","769.5919","2020-01-09T15-41-46-610.png","565.4669","2020-01-09T14-54-35-542.png","259.6560","2020-01-09T14-54-35-738.png"
"NVIDIA TITAN Xp","liquid formation","path_siny","79","1024 1024","0.9852","743.7654","2020-01-09T14-39-56-051.png","914.9047","2020-01-09T14-39-56-105.png","808.4140","2020-01-09T15-41-46-610.png","555.1793","2020-01-09T14-54-35-542.png","306.5651","2020-01-09T14-54-35-738.png"
"Radeon (TM) RX 480 Graphics","liquid formation","path_siny","79","1024 1024","0.9852","85.2348","2020-01-09T14-39-56-051.png","84.7896","2020-01-09T14-39-56-105.png","72.8337","2020-01-09T15-41-46-610.png","42.7369","2020-01-09T14-54-35-542.png","17.1197","2020-01-09T14-54-35-738.png"
"Radeon Vega Frontier Edition","liquid formation","path_siny","79","1024 1024","0.9852","307.4048","2020-01-09T14-39-56-051.png","415.2186","2020-01-09T14-39-56-105.png","347.5166","2020-01-09T15-41-46-610.png","408.2499","2020-01-09T14-54-35-542.png","77.3437","2020-01-09T14-54-35-738.png"
"NVIDIA GeForce GTX 1080 Ti","liquid formation","path_siny","79","2048 2048","0.9852","822.0304","2020-01-09T14-39-56-051.png","959.7666","2020-01-09T14-39-56-105.png","532.6686","2020-01-09T15-41-46-610.png","616.9070","2020-01-09T14-54-35-542.png","299.4945","2020-01-09T14-54-35-738.png"
"NVIDIA Quadro M6000 24GB","liquid formation","path_siny","79","2048 2048","0.9852","507.5988","2020-01-09T14-39-56-051.png","505.9244","2020-01-09T14-39-56-105.png","298.1177","2020-01-09T15-41-46-610.png","223.6976","2020-01-09T14-54-35-542.png","167.3478","2020-01-09T14-54-35-738.png"
"NVIDIA TITAN X (Pascal)","liquid formation","path_siny","79","2048 2048","0.9852","751.3487","2020-01-09T14-39-56-051.png","878.6729","2020-01-09T14-39-56-105.png","483.7040","2020-01-09T15-41-46-610.png","557.5628","2020-01-09T14-54-35-542.png","259.0137","2020-01-09T14-54-35-738.png"
"NVIDIA TITAN Xp","liquid formation","path_siny","79","2048 2048","0.9852","743.1960","2020-01-09T14-39-56-051.png","908.8513","2020-01-09T14-39-56-105.png","504.6835","2020-01-09T15-41-46-610.png","553.2932","2020-01-09T14-54-35-542.png","306.5275","2020-01-09T14-54-35-738.png"
"Radeon (TM) RX 480 Graphics","liquid formation","path_siny","79","2048 2048","0.9852","84.9235","2020-01-09T14-39-56-051.png","84.1567","2020-01-09T14-39-56-105.png","50.3337","2020-01-09T15-41-46-610.png","42.6305","2020-01-09T14-54-35-542.png","17.1059","2020-01-09T14-54-35-738.png"
"Radeon Vega Frontier Edition","liquid formation","path_siny","79","2048 2048","0.9852","306.7626","2020-01-09T14-39-56-051.png","414.4545","2020-01-09T14-39-56-105.png","227.9291","2020-01-09T15-41-46-610.png","408.7689","2020-01-09T14-54-35-542.png","77.3168","2020-01-09T14-54-35-738.png"
"NVIDIA GeForce GTX 1080 Ti","liquid formation","path_siny","79","512 512","0.9852","823.4112","2020-01-09T14-39-56-051.png","970.8172","2020-01-09T14-39-56-105.png","933.1666","2020-01-09T15-41-46-610.png","617.6881","2020-01-09T14-54-35-542.png","284.3801","2020-01-09T14-54-35-738.png"
"NVIDIA Quadro M6000 24GB","liquid formation","path_siny","79","512 512","0.9852","508.3858","2020-01-09T14-39-56-051.png","510.9392","2020-01-09T14-39-56-105.png","496.6945","2020-01-09T15-41-46-610.png","224.0113","2020-01-09T14-54-35-542.png","168.7075","2020-01-09T14-54-35-738.png"
"NVIDIA TITAN X (Pascal)","liquid formation","path_siny","79","512 512","0.9852","751.4898","2020-01-09T14-39-56-051.png","886.9809","2020-01-09T14-39-56-105.png","852.9148","2020-01-09T15-41-46-610.png","566.2963","2020-01-09T14-54-35-542.png","259.4155","2020-01-09T14-54-35-738.png"
"NVIDIA TITAN Xp","liquid formation","path_siny","79","512 512","0.9852","743.7654","2020-01-09T14-39-56-051.png","919.5487","2020-01-09T14-39-56-105.png","891.0512","2020-01-09T15-41-46-610.png","555.8118","2020-01-09T14-54-35-542.png","307.1989","2020-01-09T14-54-35-738.png"
"Radeon (TM) RX 480 Graphics","liquid formation","path_siny","79","512 512","0.9852","85.3060","2020-01-09T14-39-56-051.png","84.7436","2020-01-09T14-39-56-105.png","81.6713","2020-01-09T15-41-46-610.png","42.6842","2020-01-09T14-54-35-542.png","17.1228","2020-01-09T14-54-35-738.png"
"Radeon Vega Frontier Edition","liquid formation","path_siny","79","512 512","0.9852","307.1253","2020-01-09T14-39-56-051.png","415.2065","2020-01-09T14-39-56-105.png","399.3722","2020-01-09T15-41-46-610.png","410.2345","2020-01-09T14-54-35-542.png","77.3317","2020-01-09T14-54-35-738.png"
"NVIDIA GeForce GTX 1080 Ti","liquid formation","path_siny","89","1024 1024","0.9967","823.4383","2020-01-09T14-40-08-252.png","970.2991","2020-01-09T14-40-08-302.png","915.2397","2020-01-09T15-41-53-237.png","616.6445","2020-01-09T14-55-04-268.png","316.3015","2020-01-09T14-55-04-458.png"
"NVIDIA Quadro M6000 24GB","liquid formation","path_siny","89","1024 1024","0.9967","508.4143","2020-01-09T14-40-08-252.png","509.7957","2020-01-09T14-40-08-302.png","483.2365","2020-01-09T15-41-53-237.png","223.7161","2020-01-09T14-55-04-268.png","167.4509","2020-01-09T14-55-04-458.png"
"NVIDIA TITAN X (Pascal)","liquid formation","path_siny","89","1024 1024","0.9967","751.7780","2020-01-09T14-40-08-252.png","886.1713","2020-01-09T14-40-08-302.png","835.3940","2020-01-09T15-41-53-237.png","565.1410","2020-01-09T14-55-04-268.png","288.0334","2020-01-09T14-55-04-458.png"
"NVIDIA TITAN Xp","liquid formation","path_siny","89","1024 1024","0.9967","743.8096","2020-01-09T14-40-08-252.png","918.2905","2020-01-09T14-40-08-302.png","867.2876","2020-01-09T15-41-53-237.png","555.1793","2020-01-09T14-55-04-268.png","306.9613","2020-01-09T14-55-04-458.png"
"Radeon (TM) RX 480 Graphics","liquid formation","path_siny","89","1024 1024","0.9967","85.2021","2020-01-09T14-40-08-252.png","84.7479","2020-01-09T14-40-08-302.png","81.8009","2020-01-09T15-41-53-237.png","42.7182","2020-01-09T14-55-04-268.png","17.1166","2020-01-09T14-55-04-458.png"
"Radeon Vega Frontier Edition","liquid formation","path_siny","89","1024 1024","0.9967","307.1885","2020-01-09T14-40-08-252.png","414.9756","2020-01-09T14-40-08-302.png","398.1589","2020-01-09T15-41-53-237.png","410.9713","2020-01-09T14-55-04-268.png","77.4102","2020-01-09T14-55-04-458.png"
"NVIDIA GeForce GTX 1080 Ti","liquid formation","path_siny","89","2048 2048","0.9967","823.0859","2020-01-09T14-40-08-252.png","967.8949","2020-01-09T14-40-08-302.png","783.5026","2020-01-09T15-41-53-237.png","616.1278","2020-01-09T14-55-04-268.png","299.3295","2020-01-09T14-55-04-458.png"
"NVIDIA Quadro M6000 24GB","liquid formation","path_siny","89","2048 2048","0.9967","507.8694","2020-01-09T14-40-08-252.png","508.7091","2020-01-09T14-40-08-302.png","425.4215","2020-01-09T15-41-53-237.png","223.5606","2020-01-09T14-55-04-268.png","168.6750","2020-01-09T14-55-04-458.png"
"NVIDIA TITAN X (Pascal)","liquid formation","path_siny","89","2048 2048","0.9967","751.7780","2020-01-09T14-40-08-252.png","882.9788","2020-01-09T14-40-08-302.png","715.4406","2020-01-09T15-41-53-237.png","564.6496","2020-01-09T14-55-04-268.png","259.2783","2020-01-09T14-55-04-458.png"
"NVIDIA TITAN Xp","liquid formation","path_siny","89","2048 2048","0.9967","743.7654","2020-01-09T14-40-08-252.png","915.6671","2020-01-09T14-40-08-302.png","745.1842","2020-01-09T15-41-53-237.png","554.5512","2020-01-09T14-55-04-268.png","306.9490","2020-01-09T14-55-04-458.png"
"Radeon (TM) RX 480 Graphics","liquid formation","path_siny","89","2048 2048","0.9967","84.9834","2020-01-09T14-40-08-252.png","84.4302","2020-01-09T14-40-08-302.png","72.8937","2020-01-09T15-41-53-237.png","42.6396","2020-01-09T14-55-04-268.png","17.1090","2020-01-09T14-55-04-458.png"
"Radeon Vega Frontier Edition","liquid formation","path_siny","89","2048 2048","0.9967","305.6786","2020-01-09T14-40-08-252.png","415.0773","2020-01-09T14-40-08-302.png","351.2519","2020-01-09T15-41-53-237.png","409.1653","2020-01-09T14-55-04-268.png","77.4138","2020-01-09T14-55-04-458.png"
"NVIDIA GeForce GTX 1080 Ti","liquid formation","path_siny","89","512 512","0.9967","823.4112","2020-01-09T14-40-08-252.png","969.4150","2020-01-09T14-40-08-302.png","952.8892","2020-01-09T15-41-53-237.png","616.9070","2020-01-09T14-55-04-268.png","316.2585","2020-01-09T14-55-04-458.png"
"NVIDIA Quadro M6000 24GB","liquid formation","path_siny","89","512 512","0.9967","508.4479","2020-01-09T14-40-08-252.png","510.1364","2020-01-09T14-40-08-302.png","500.6734","2020-01-09T15-41-53-237.png","223.7512","2020-01-09T14-55-04-268.png","168.7063","2020-01-09T14-55-04-458.png"
"NVIDIA TITAN X (Pascal)","liquid formation","path_siny","89","512 512","0.9967","752.4115","2020-01-09T14-40-08-252.png","887.0517","2020-01-09T14-40-08-302.png","870.7767","2020-01-09T15-41-53-237.png","565.1442","2020-01-09T14-55-04-268.png","259.3812","2020-01-09T14-55-04-458.png"
"NVIDIA TITAN Xp","liquid formation","path_siny","89","512 512","0.9967","743.7654","2020-01-09T14-40-08-252.png","917.9196","2020-01-09T14-40-08-302.png","903.4240","2020-01-09T15-41-53-237.png","555.4907","2020-01-09T14-55-04-268.png","273.0890","2020-01-09T14-55-04-458.png"
"Radeon (TM) RX 480 Graphics","liquid formation","path_siny","89","512 512","0.9967","85.2966","2020-01-09T14-40-08-252.png","84.6582","2020-01-09T14-40-08-302.png","84.0590","2020-01-09T15-41-53-237.png","42.7595","2020-01-09T14-55-04-268.png","17.1250","2020-01-09T14-55-04-458.png"
"Radeon Vega Frontier Edition","liquid formation","path_siny","89","512 512","0.9967","307.0697","2020-01-09T14-40-08-252.png","415.0652","2020-01-09T14-40-08-302.png","411.5972","2020-01-09T15-41-53-237.png","409.2892","2020-01-09T14-55-04-268.png","77.2923","2020-01-09T14-55-04-458.png"
