"ae","dataset","camera_path","camera_step","pos_x","pos_y","view_x","view_y"
"1","vdb-volume","spiral-zoom","73","0.613562","-0.665203","-0.04054","0.045125"
"1","vdb-volume","spiral-zoom","74","0.616522","-0.662878","-0.040725","0.044963"
"1","vdb-volume","spiral-zoom","75","0.619462","-0.660523","-0.04091","0.0448"
"1","vdb-volume","spiral-zoom","76","0.622385","-0.658144","-0.041094","0.044636"
"1","vdb-volume","spiral-zoom","77","0.625289","-0.655739","-0.041278","0.044471"
"1","vdb-volume","spiral-zoom","78","0.628171","-0.653299","-0.04146","0.044305"
"1","vdb-volume","spiral-zoom","79","0.631036","-0.650839","-0.041642","0.044138"
"1","vdb-volume","spiral-zoom","80","0.633882","-0.648348","-0.041824","0.04397"
"1","vdb-volume","spiral-zoom","81","0.636707","-0.645827","-0.042004","0.043801"
"1","vdb-volume","spiral-zoom","82","0.639514","-0.643281","-0.042184","0.043632"
"1","vdb-volume","spiral-zoom","83","0.642302","-0.64071","-0.042364","0.043461"
"1","vdb-volume","spiral-zoom","84","0.64507","-0.638107","-0.042542","0.043289"
"1","vdb-volume","spiral-zoom","85","0.64782","-0.635485","-0.04272","0.043117"
"1","vdb-volume","spiral-zoom","86","0.650547","-0.632827","-0.042898","0.042943"
"1","vdb-volume","spiral-zoom","87","0.653258","-0.630148","-0.043074","0.042769"
"1","vdb-volume","spiral-zoom","88","0.65595","-0.627445","-0.04325","0.042594"
"1","vdb-volume","spiral-zoom","89","0.658622","-0.624715","-0.043425","0.042417"
"1","vdb-volume","spiral-zoom","90","0.661273","-0.621955","-0.0436","0.04224"
"1","vdb-volume","spiral-zoom","91","0.663906","-0.619175","-0.043774","0.042062"
"1","vdb-volume","spiral-zoom","92","0.666519","-0.616363","-0.043947","0.041883"
"1","vdb-volume","spiral-zoom","93","0.669113","-0.613532","-0.044119","0.041703"
"1","vdb-volume","spiral-zoom","94","0.671688","-0.610674","-0.044291","0.041521"
"1","vdb-volume","spiral-zoom","95","0.674244","-0.607792","-0.044462","0.041339"
"1","vdb-volume","spiral-zoom","96","0.676779","-0.604883","-0.044633","0.041156"
